year,canton,diseasesGroup,diseases,species,count
2010,UR,Epidemics to be eradicated,Bovine Virusdiarrhoe / Mucosal disease,Cattle,3
2010,SO,Epidemics to be fought,Avian infectious laryngotracheitis,Chicken,1
2010,GE,Epidemics to be eradicated,Porcine Brucellosis,Boar,1
2010,TI,Epidemics to be supervised,Listeriosis,Goat,2
2010,ZG,Epidemics to be eradicated,Bovine Virusdiarrhoe / Mucosal disease,Cattle,8
2011,LU,Epidemics to be fought,European foulbrood of honey bees,Bees,69
2011,BE,Epidemics to be fought,American foulbrood of honey bees,Bees,32
2011,OW,Epidemics to be supervised,Neosporosis,Cattle,3
2011,JU,Epidemics to be supervised,Cryptosporidiosis,Cattle,2
2011,AG,Epidemics to be supervised,Listeriosis,Cattle,1
2011,GR,Epidemics to be supervised,Enzootic abortion of ewes,Sheep,12
2011,SO,Epidemics to be supervised,Varrosis of honey bees,Bees,1
2011,BE,Epidemics to be fought,Caprine Arthritis-Encephalitis,Goat,33
2011,SH,Epidemics to be fought,European foulbrood of honey bees,Bees,1
2011,BE,Epidemics to be fought,Enzootic pneumonia of swine,Pig,1
2011,FR,Epidemics to be eradicated,Bovine Virusdiarrhoe / Mucosal disease,Cattle,58
2011,GR,Epidemics to be eradicated,Bovine Virusdiarrhoe / Mucosal disease,Cattle,11
2011,BL,Epidemics to be fought,Avian infectious laryngotracheitis,Chicken,1
2011,VD,Epidemics to be fought,Swine actinobacillosis,Pig,1
2011,LU,Epidemics to be supervised,Ovine pulmonary adenomatosis,Sheep,2
2011,BE,Epidemics to be fought,Salmonellosis,Lizard,1
2011,NE,Highly contagious epidemics,Newcastle disease,Chicken,1
2011,BE,Epidemics to be fought,Avian chlamydiosis,Pigeon,1
2011,VS,Epidemics to be supervised,Maedi-visna,Sheep,2
2011,SG,Epidemics to be fought,Avian infectious laryngotracheitis,Chicken,2
2011,NW,Epidemics to be supervised,Enzootic abortion of ewes,Sheep,1
2011,AG,Epidemics to be supervised,Maedi-visna,Sheep,1
2011,SO,Epidemics to be supervised,Q fever,Cattle,1
2011,SG,Epidemics to be fought,American foulbrood of honey bees,Bees,3
2011,ZH,Epidemics to be supervised,Varrosis of honey bees,Bees,30
2011,UR,Epidemics to be fought,Caprine Arthritis-Encephalitis,Goat,5
2011,BL,Epidemics to be fought,European foulbrood of honey bees,Bees,3
